2024 Taxable Income,Other Income,Capital Gains (All Pre-Jun 25),Capital Gains (>$250K Post-Jun 24),Canadian Dividends (Eligible),Canadian Dividends (Non-Eligible)
47937,20.06,10.03,13.37,-9.6,10.43
55867,22.7,11.35,15.13,-5.96,13.47
95875,28.2,14.1,18.8,1.63,19.8
110076,31.0,15.5,20.67,5.49,23.02
111733,32.79,16.4,21.86,7.96,25.07
133664,38.29,19.15,25.53,15.55,31.4
173205,40.7,20.35,27.13,18.88,34.17
181232,44.02,22.01,29.35,23.46,37.99
246752,46.12,23.06,30.75,26.36,40.41
252752,49.8,24.9,33.2,31.44,44.64
252752,53.5,26.75,35.67,36.54,48.89
