2024 Taxable Income,Other Income,Capital Gains (All Pre–Jun 25),Capital Gains (>$250K Post–Jun 24),Canadian Dividends (Eligible),Canadian Dividends (Non-Eligible)
51446,20.05,10.03,13.37,-6.86,9.24
55446,24.15,12.08,16.1,-1.2,13.95
90599,29.65,14.83,19.77,6.39,20.28
102894,31.48,15.74,20.99,8.92,22.38
106732,33.89,16.95,22.59,12.24,25.16
111733,37.91,18.95,25.27,17.79,29.78
150000,43.41,21.7,28.94,25.38,36.1
173205,44.97,22.48,29.98,27.53,37.9
220000,48.29,24.14,32.19,32.11,41.72
246752,49.85,24.92,33.23,34.26,43.51
